python main.py ./simulatedPlanets/example-sim-model_Rp_Teff ./simulatedPlanets/fake_grammaticalSystems_Rp_Teff.txt --num_planet_features 1 --num_stellar_features 1 --num_labels 3 --batch_size 100 --epochs 250 --width 2 --seed 5 --dropout_prob 0. --train

Random seed: 5
-----------------------------------------------------------------------------------------
[DATA]
   data:          ./simulatedPlanets/fake_grammaticalSystems_Rp_Teff.txt
   # planets:     37734
-----------------------------------------------------------------------------------------
[TRAINING]
   num_labels:    3
   batch_size:    100
   lr:            0.002
   epochs:        250

| epoch 141 | loss -0.263686862257 | 0.380419728525 bits | time 0:00:01   
| epoch 142 | loss -0.263809696076 | 0.380596940268 bits | time 0:00:01   
| epoch 143 | loss -0.263877254472 | 0.380694406430 bits | time 0:00:01   
| epoch 144 | loss -0.263843051656 | 0.380645062197 bits | time 0:00:01   
| epoch 145 | loss -0.263706556704 | 0.380448141606 bits | time 0:00:00   
| epoch 146 | loss -0.263540965855 | 0.380209244510 bits | time 0:00:01   
| epoch 147 | loss -0.263735812808 | 0.380490349243 bits | time 0:00:01   
| epoch 148 | loss -0.263675729749 | 0.380403667712 bits | time 0:00:01   
| epoch 149 | loss -0.264074148009 | 0.380978463760 bits | time 0:00:01   
| epoch 150 | loss -0.263733537109 | 0.380487066103 bits | time 0:00:00   
| epoch 151 | loss -0.263953715721 | 0.380804716694 bits | time 0:00:00   
| epoch 152 | loss -0.263749167244 | 0.380509615622 bits | time 0:00:00   
| epoch 153 | loss -0.263863080866 | 0.380673958239 bits | time 0:00:00   
| epoch 154 | loss -0.263904848427 | 0.380734216092 bits | time 0:00:00   
| epoch 155 | loss -0.263461955325 | 0.380095256411 bits | time 0:00:00   
| epoch 156 | loss -0.263775435863 | 0.380547513227 bits | time 0:00:00   
| epoch 157 | loss -0.263494434338 | 0.380142113721 bits | time 0:00:01   
| epoch 158 | loss -0.264009104677 | 0.380884626067 bits | time 0:00:01   
| epoch 159 | loss -0.264044953717 | 0.380936345299 bits | time 0:00:01   
| epoch 160 | loss -0.264026522321 | 0.380909754416 bits | time 0:00:00   
| epoch 161 | loss -0.263694003461 | 0.380430031105 bits | time 0:00:00   
| epoch 162 | loss -0.263874898197 | 0.380691007043 bits | time 0:00:00   
| epoch 163 | loss -0.264008434992 | 0.380883659916 bits | time 0:00:01   
| epoch 164 | loss -0.263801405354 | 0.380584979284 bits | time 0:00:01   
| epoch 165 | loss -0.263330648185 | 0.379905820251 bits | time 0:00:02   
| epoch 166 | loss -0.264015421192 | 0.380893738873 bits | time 0:00:01   
| epoch 167 | loss -0.263709274707 | 0.380452062856 bits | time 0:00:02   
| epoch 168 | loss -0.263363452027 | 0.379953146191 bits | time 0:00:01   
| epoch 169 | loss -0.263764245800 | 0.380531369380 bits | time 0:00:01   
| epoch 170 | loss -0.263902234968 | 0.380730445668 bits | time 0:00:01   
| epoch 171 | loss -0.264064780146 | 0.380964948790 bits | time 0:00:03   
