python main.py ./simulatedPlanets/example-sim-model_Rp_loguP ./simulatedPlanets/fake_grammaticalSystems_Rp_loguP.txt --num_planet_features 2 --num_stellar_features 0 --num_labels 3 --batch_size 100 --epochs 500 --width 2 --seed 128 --dropout_prob 0.05 --train

Random seed: 128
-----------------------------------------------------------------------------------------
[DATA]
   data:          ./simulatedPlanets/fake_grammaticalSystems_Rp_loguP.txt
   # planets:     37654
-----------------------------------------------------------------------------------------
[TRAINING]
   num_labels:    3
   batch_size:    100
   lr:            0.002
   epochs:        500

| epoch 122 | loss -0.476291757522 | 0.687143756593 bits | time 0:00:01   
| epoch 123 | loss -0.471311579570 | 0.679958878559 bits | time 0:00:01   
| epoch 124 | loss -0.472704893872 | 0.681969006194 bits | time 0:00:01   
| epoch 125 | loss -0.476015325092 | 0.686744948898 bits | time 0:00:01   
| epoch 126 | loss -0.479922367423 | 0.692381619493 bits | time 0:00:02   
| epoch 127 | loss -0.477015662415 | 0.688188130592 bits | time 0:00:01   
| epoch 128 | loss -0.487270361233 | 0.702982533722 bits | time 0:00:01   
| epoch 129 | loss -0.481348007206 | 0.694438382938 bits | time 0:00:01   
| epoch 130 | loss -0.480992666053 | 0.693925734018 bits | time 0:00:01   
| epoch 131 | loss -0.490978611006 | 0.708332407280 bits | time 0:00:01   
| epoch 132 | loss -0.488425029605 | 0.704648368057 bits | time 0:00:01   
| epoch 133 | loss -0.492738720514 | 0.710871708539 bits | time 0:00:01   
| epoch 134 | loss -0.496587637012 | 0.716424521283 bits | time 0:00:01   
| epoch 135 | loss -0.499835369125 | 0.721110008298 bits | time 0:00:02   
| epoch 136 | loss -0.507606926426 | 0.732321995476 bits | time 0:00:01   
| epoch 137 | loss -0.508993341373 | 0.734322169444 bits | time 0:00:01   
| epoch 138 | loss -0.513785491888 | 0.741235781227 bits | time 0:00:01   
| epoch 139 | loss -0.528646089512 | 0.762675091724 bits | time 0:00:01   
| epoch 140 | loss -0.530197455017 | 0.764913239044 bits | time 0:00:01   
| epoch 141 | loss -0.539152593527 | 0.777832772964 bits | time 0:00:01   
| epoch 142 | loss -0.544233685937 | 0.785163239787 bits | time 0:00:01   
| epoch 143 | loss -0.544794834656 | 0.785972806260 bits | time 0:00:01   
| epoch 144 | loss -0.547619023437 | 0.790047249409 bits | time 0:00:02   
| epoch 145 | loss -0.545488185291 | 0.786973099783 bits | time 0:00:01   
| epoch 146 | loss -0.553461136726 | 0.798475637280 bits | time 0:00:02   
| epoch 147 | loss -0.552373832749 | 0.796906989224 bits | time 0:00:01   
