# kepid innerPlanetIdx outerPlanetIdx amin amax Pmin Pmax mmax Rpmax Rpmax_uerr Rpmax_lerr rormax rormax_uerr rormax_lerr
4142847 0 2 0.003530 0.647700 0.084736 210.631486 152023.754795 51.271498 6.270826 3.644860 0.618602 0.075659 0.043976
4157325 0 2 0.004753 0.065800 0.122846 6.319436 118200.189947 41.849502 4.092838 4.381295 0.374987 0.036673 0.039258
4157325 1 3 0.040700 0.102100 3.076447 12.209518 2100.163261 12.509747 2.306587 2.168288 0.112092 0.020668 0.019429
4157325 2 4 0.065800 0.163900 6.319436 24.843484 2053.744892 12.459889 2.376818 2.063576 0.111645 0.021297 0.018490
4173026 0 2 0.004562 0.457200 0.116328 116.583183 169498.399059 57.835840 5.264431 5.826932 0.539890 0.049143 0.054394
4249725 0 2 0.002655 0.089900 0.065010 12.794547 95170.663012 34.966591 3.761729 2.463708 0.560783 0.060329 0.039512
4263293 0 2 0.002437 0.106400 0.059955 17.281170 89987.496481 32.500336 4.267784 2.978463 0.567981 0.074584 0.052052
4263293 1 3 0.066100 0.161000 8.457466 32.134001 1078.996148 12.641891 2.755937 1.856640 0.220932 0.048163 0.032447
4270253 0 2 0.005571 0.098700 0.156238 11.637030 129444.181559 45.253459 4.138890 4.322302 0.345917 0.031638 0.033040
4275721 0 2 0.004506 0.075900 0.118589 8.181822 116825.294365 41.241490 5.280296 4.365919 0.389752 0.049901 0.041260
4349452 0 2 0.005850 0.110100 0.156039 12.720370 153281.281766 51.829048 5.959422 3.328012 0.377285 0.043381 0.024226
4385148 0 2 0.003892 0.160000 0.092073 24.275899 154186.120707 54.287232 4.613640 7.313928 0.593950 0.050477 0.080021
4455231 0 2 0.007078 0.142800 0.213266 19.305817 148474.057913 50.286697 6.003471 4.274331 0.302563 0.036121 0.025718
4455231 1 3 0.066200 0.292600 6.097472 56.637918 8961.681244 11.706517 2.255228 1.839643 0.070435 0.013569 0.011069
4458082 0 2 0.006264 0.092800 0.156662 8.934849 171220.711131 57.571099 6.002914 6.235449 0.391394 0.040810 0.042391
4466677 0 2 0.004464 0.143900 0.114906 21.011207 143485.230148 48.681544 5.674506 4.183247 0.464377 0.054130 0.039904
4466677 1 3 0.041200 0.228500 3.222975 42.037066 11383.903683 11.679229 2.579805 1.729418 0.111409 0.024609 0.016497
4472818 0 2 0.004585 0.339200 0.111633 70.967209 182958.852388 62.021485 5.510503 5.783277 0.576027 0.051179 0.053712
