# kepid innerPlanetIdx outerPlanetIdx amin amax Pmin Pmax mmax Rpmax Rpmax_uerr Rpmax_lerr
2975770 0 1 0.003618 0.309100 326143.719605 71.525439 137802.109284 47.660487 3.565783 5.015403
2975770 1 2 0.309100 0.923100 71.525439 369.069345 2792.603773 12.289064 2.112037 1.815388
2976017 0 1 0.003265 0.039000 277740.833005 3.199381 90536.296133 33.702355 3.343956 3.718329
2985767 0 1 0.007194 0.117600 767409.101634 14.079692 145386.256009 49.275704 6.149035 4.204112
2986833 0 1 0.002581 0.015500 224155.050538 0.912179 41449.923942 16.811120 1.485455 1.516565
2987027 0 1 0.003432 0.120900 297285.544006 17.276297 128053.864156 43.866035 5.026674 3.878249
2989404 0 1 0.005027 0.027600 468895.499798 1.678326 63541.547856 24.248477 3.246117 2.387454
2989404 1 2 0.027600 0.045600 1.678326 3.553831 370.781463 13.703133 2.169405 1.866153
2990873 0 1 0.004302 0.121200 390835.621021 16.223785 139839.799448 47.643983 6.381622 4.438753
2995392 0 1 0.004576 0.193900 397577.777067 30.454442 174720.215092 58.563091 6.007376 4.692276
2997459 0 1 0.003995 0.118600 363336.906963 16.336886 131002.164260 45.877041 5.080343 4.322868
3001955 0 1 0.003683 0.915200 321090.781919 348.963470 157090.657692 53.958313 5.037768 5.298719
3002478 0 1 0.004464 0.068200 383121.304760 6.357053 135841.863444 47.092155 4.043116 4.614970
3097926 0 1 0.003967 0.110600 366411.055133 14.979743 124481.251871 43.694290 5.019552 4.213864
3098605 0 1 0.003604 0.010400 316925.663288 0.428046 17687.515323 11.832986 2.499225 2.087149
3098810 0 1 0.006046 0.248900 554538.792053 40.809573 206239.091187 67.994192 7.191408 6.306794
3101178 0 1 0.005622 0.294200 565171.888224 59.403784 164753.727438 56.424408 5.345354 5.654183
3101923 0 1 0.005776 0.386400 541486.030958 82.331756 199504.583108 66.807274 7.444195 7.012972
3102384 0 1 0.005023 0.096400 452851.924659 10.573751 150033.509350 52.123754 5.360014 5.537047
3103212 0 1 0.004669 0.042600 426153.132282 3.254247 96170.892024 35.512731 3.060389 4.227717
3103227 0 1 0.006339 0.768100 609238.588027 225.585245 216825.931207 71.003245 8.775433 6.646801
3103473 0 1 0.003446 0.028300 291803.878587 1.920063 76578.854541 29.051993 2.375866 3.138624
3109550 0 1 0.005981 0.054600 636802.938472 4.875477 90546.684824 32.893264 3.220975 3.482157
3109930 0 1 0.004525 0.218800 404899.411852 37.810265 165750.859694 56.134700 6.405657 6.036903
3112129 0 1 0.004357 0.012200 373197.306217 0.487656 20961.592742 11.401680 2.483259 1.926912
3114167 0 1 0.003158 0.064000 266262.358019 6.770300 109651.422206 39.944353 3.825496 4.058682
3114811 0 1 0.013333 0.111400 1653611.308406 11.089566 139875.989136 48.106519 4.115203 4.133280
3115833 0 1 0.003888 0.088400 338641.808782 10.181584 130542.881816 45.566820 6.194733 4.350873
3116412 0 1 0.005776 0.107100 586337.281962 12.992049 134622.487453 47.468978 4.639277 4.524260
3118797 0 1 0.003530 0.303300 298745.022552 66.415979 152574.072531 52.569988 6.410149 4.936120
3120355 0 1 0.005971 0.362500 594898.064805 78.099891 180961.312677 61.713379 5.048755 6.215107
3120904 0 1 0.011547 0.269700 1368915.610297 42.913663 210986.317198 70.815506 5.196396 8.025071
3122872 0 1 0.011473 0.459500 1374728.623791 96.816470 228407.857544 73.831443 7.603151 5.854815
3122913 0 1 0.003260 0.088500 295336.934987 11.606531 105729.078800 38.047331 2.870783 3.972892
3128552 0 1 0.005190 0.035200 511167.343499 2.504753 72871.817114 27.745875 2.811712 2.476186
3128552 1 2 0.035200 0.048300 2.504753 4.025824 83.890197 11.154169 4.945447 2.802762
3128552 2 3 0.048300 0.063600 4.025824 6.130742 54.545001 8.554151 3.054131 2.288621
3128552 3 4 0.063600 0.080500 6.130742 8.678903 31.796109 5.694158 2.256161 1.364539
3217264 0 1 0.004371 0.181500 393025.869015 29.198992 155399.205291 53.573507 6.021898 4.998534
3217264 1 2 0.181500 0.277900 29.198992 55.329140 203.741907 13.978582 3.123258 1.888895
3217264 2 3 0.277900 0.564200 55.329140 160.019160 956.747165 13.226846 2.188022 2.150448
3218908 0 1 0.022718 0.030900 3346574.005607 1.475323 1214.142487 12.950527 2.206818 1.805659
3218908 1 2 0.030900 0.061600 1.475323 4.152461 1706.621300 13.016143 2.417923 2.174158
3218908 2 3 0.061600 0.169400 4.152461 18.925372 4867.807603 12.058349 2.398335 1.697028
3219643 0 1 0.003748 0.149900 346394.313765 24.336703 125430.535923 43.486619 4.222216 4.049024
3219995 0 1 0.004413 0.140100 380019.214264 18.870587 163599.965307 57.124328 6.280000 7.802401
3223433 0 1 0.004720 0.308200 417110.966611 61.083322 183105.716229 61.069799 6.769411 4.540093
3234598 0 1 0.003358 0.096200 303018.116158 12.904675 111021.267804 40.192195 4.268826 5.304424
3234598 1 2 0.096200 0.173400 12.904675 31.201220 425.486677 13.048326 2.147357 2.275795
3234843 0 1 0.004078 0.093700 347013.015487 10.613687 144052.659996 50.346675 4.785093 5.008216
